"Time Frame" ,"Location Id" ,"Location"                 ,"Lodged Bonds" ,"Active Bonds" ,"Closed Bonds" ,"Median Rent" ,"Geometric Mean Rent" ,"Upper Quartile Rent" ,"Lower Quartile Rent" ,"Log Std Dev Weekly Rent"
"1993-06-01" ,"-1"          ,"NA"                       ,"507"          ,"6444"         ,"456"          ,"130"         ,"126"                 ,"160"                 ,"100"                 ,"0.37"
"1993-06-01" ,"1"           ,"Northland Region"         ,"150"          ,"1938"         ,"132"          ,"125"         ,"118"                 ,"150"                 ,"103"                 ,"0.37"
"1993-06-01" ,"2"           ,"Auckland Region"          ,"2,169"        ,"31857"        ,"1,809"        ,"180"         ,"188"                 ,"230"                 ,"150"                 ,"0.36"
"1993-06-01" ,"3"           ,"Waikato Region"           ,"651"          ,"9015"         ,"579"          ,"130"         ,"130"                 ,"160"                 ,"110"                 ,"0.31"
"1993-06-01" ,"4"           ,"Bay of Plenty Region"     ,"450"          ,"5211"         ,"360"          ,"140"         ,"134"                 ,"160"                 ,"120"                 ,"0.29"
"1993-06-01" ,"5"           ,"Gisborne Region"          ,"84"           ,"822"          ,"60"           ,"120"         ,"119"                 ,"145"                 ,"107"                 ,"0.25"
"1993-06-01" ,"6"           ,"Hawke's Bay Region"       ,"228"          ,"3033"         ,"231"          ,"140"         ,"136"                 ,"160"                 ,"120"                 ,"0.25"
"1993-06-01" ,"7"           ,"Taranaki Region"          ,"213"          ,"2472"         ,"171"          ,"130"         ,"123"                 ,"150"                 ,"100"                 ,"0.31"
"1993-06-01" ,"8"           ,"Manawatu-Wanganui Region" ,"387"          ,"5928"         ,"360"          ,"130"         ,"131"                 ,"160"                 ,"110"                 ,"0.34"
"1993-06-01" ,"9"           ,"Wellington Region"        ,"783"          ,"12297"        ,"741"          ,"170"         ,"170"                 ,"210"                 ,"130"                 ,"0.38"
"1993-06-01" ,"12"          ,"West Coast Region"        ,"33"           ,"453"          ,"30"           ,"115"         ,"104"                 ,"130"                 ,"86"                  ,"0.29"
"1993-06-01" ,"13"          ,"Canterbury Region"        ,"846"          ,"11427"        ,"747"          ,"150"         ,"142"                 ,"180"                 ,"115"                 ,"0.34"
"1993-06-01" ,"14"          ,"Otago Region"             ,"351"          ,"5379"         ,"303"          ,"135"         ,"130"                 ,"158"                 ,"110"                 ,"0.36"
